AARS|16
ABCB6|10058
ABCC5|10057
ABCF1|23
ABCF3|55324
ABHD4|63874
ABHD6|57406
ABL1|25
ACAA1|30
ACAT2|39
ACBD3|64746
ACD|65057
ACLY|47
ACOT9|23597
ADAM10|102
ADAT1|23536
ADH5|128
ADI1|55256
ADO|84890
AGL|178
AKAP8L|26993
AKAP8|10270
AKR7A2|8574
AKT1|207
ALAS1|211
ALDH7A1|501
ALDOA|226
ALDOC|230
AMDHD2|51005
ANKRD10|55608
ANO10|55129
ANXA7|310
APBB2|323
APOE|348
APPBP2|10513
APP|351
ARFIP2|23647
ARHGAP1|392
ARHGEF12|23365
ARHGEF2|9181
ARID4B|51742
ARID5B|84159
ARL4C|10123
ARNT2|9915
ARPP19|10776
ASAH1|427
ASCC3|10973
ATF1|466
ATF5|22809
ATF6|22926
ATG3|64422
ATMIN|23300
ATP11B|23200
ATP1B1|481
ATP2C1|27032
ATP5S|27109
ATP6V0B|533
ATP6V1D|51382
AURKA|6790
AXIN1|8312
BACE2|25825
BAD|572
BAG3|9531
BAMBI|25805
BAX|581
BCL2|596
BCL7B|9275
BDH1|622
BECN1|8678
BHLHE40|8553
BID|637
BIRC2|329
BIRC5|332
BLCAP|10904
BLMH|642
BLVRA|644
BMP4|652
BNIP3L|665
BNIP3|664
BPHL|670
BRCA1|672
BTK|695
BUB1B|701
BZW2|28969
C2CD2L|9854
C2CD2|25966
C5|727
CAB39|51719
CALM3|808
CALU|813
CANT1|124583
CAPN1|823
CASC3|22794
CASK|8573
CASP10|843
CASP2|835
CASP3|836
CASP7|840
CAST|831
CAT|847
CBLB|868
CBR1|873
CBR3|874
CCDC85B|11007
CCDC86|79080
CCDC92|80212
CCL2|6347
CCNA2|890
CCNB1|891
CCNB2|9133
CCND1|595
CCND3|896
CCNE2|9134
CCNF|899
CCNH|902
CD320|51293
CD40|958
CD44|960
CD58|965
CDC20|991
CDC25A|993
CDC25B|994
CDC42|998
CDC45|8318
CDCA4|55038
CDH3|1001
CDK19|23097
CDK1|983
CDK2|1017
CDK4|1019
CDK5R1|8851
CDK6|1021
CDK7|1022
CDKN1A|1026
CDKN1B|1027
CDKN2A|1029
CEBPA|1050
CEBPD|1052
CEBPZ|10153
CENPE|1062
CEP57|9702
CERK|64781
CETN3|1070
CFLAR|8837
CGRRF1|10668
CHAC1|79094
CHEK1|1111
CHEK2|11200
CHERP|10523
CHIC2|26511
CHMP4A|29082
CHMP6|79643
CHN1|1123
CIAPIN1|57019
CIRBP|1153
CISD1|55847
CLIC4|25932
CLPX|10845
CLSTN1|22883
CLTB|1212
CLTC|1213
CNDP2|55748
CNOT4|4850
CNPY3|10695
COASY|80347
COG2|22796
COG4|25839
COG7|91949
COL1A1|1277
COL4A1|1282
COPB2|9276
COPS7A|50813
CORO1A|11151
CPNE3|8895
CPSF4|10898
CREB1|1385
CREG1|8804
CRELD2|79174
CRKL|1399
CRK|1398
CRTAP|10491
CRYZ|1429
CSK|1445
CSNK1A1|1452
CSNK1E|1454
CSNK2A2|1459
CSRP1|1465
CTNNAL1|8727
CTNND1|1500
CTSD|1509
CTTN|2017
CXCR4|7852
CYB561|1534
CYCS|54205
CYTH1|9267
DAG1|1605
DAXX|1616
DCK|1633
DCTD|1635
DCUN1D4|23142
DDB2|1643
DDIT4|54541
DDR1|780
DDX10|1662
DDX42|11325
DECR1|1666
DENND2D|79961
DERA|51071
DFFA|1676
DFFB|1677
DHDDS|79947
DHRS7|51635
DHX29|54505
DLD|1738
DMTF1|9988
DNAJA3|9093
DNAJB1|3337
DNAJB2|3300
DNAJB6|10049
DNAJC15|29103
DNM1L|10059
DNM1|1759
DNMT1|1786
DNMT3A|1788
DNTTIP2|30836
DPH2|1802
DRAP1|10589
DSG2|1829
DUSP11|8446
DUSP14|11072
DUSP22|56940
DUSP3|1845
DUSP4|1846
DUSP6|1848
DYNLT3|6990
DYRK3|8444
E2F2|1870
EAPP|55837
EBNA1BP2|10969
EBP|10682
ECD|11319
ECH1|1891
EDEM1|9695
EDN1|1906
EED|8726
EGFR|1956
EGR1|1958
EIF4EBP1|1978
EIF4G1|1981
EIF5|1983
ELAC2|60528
ELAVL1|1994
ELOVL6|79071
EML3|256364
ENOPH1|58478
ENOSF1|55556
EPB41L2|2037
EPHB2|2048
EPN2|22905
EPRS|2058
ERBB2|2064
ERBB3|2065
ETFB|2109
ETS1|2113
ETV1|2115
EVL|51466
EXOSC4|54512
EXT1|2131
EZH2|2146
FAH|2184
FAIM|55179
FAM20B|9917
FAM57A|79850
FAM69A|388650
FASTKD5|60493
FAS|355
FAT1|2195
FBXL12|54850
FBXO11|80204
FBXO21|23014
FBXO7|25793
FDFT1|2222
FEZ2|9637
FGFR2|2263
FHL2|2274
FIS1|51024
FKBP14|55033
FKBP4|2288
FOSL1|8061
FOS|2353
FOXJ3|22887
FOXO3|2309
FOXO4|4303
FPGS|2356
FRS2|10818
FUT1|2523
FYN|2534
FZD1|8321
FZD7|8324
G3BP1|10146
GAA|2548
GABPB1|2553
GADD45A|1647
GADD45B|4616
GALE|2582
GAPDH|2597
GATA2|2624
GATA3|2625
GDPD5|81544
GFOD1|54438
GFPT1|2673
GHR|2690
GLI2|2736
GLOD4|51031
GLRX|2745
GMNN|51053
GNA11|2767
GNA15|2769
GNAI1|2770
GNAI2|2771
GNAS|2778
GNB5|10681
GNPDA1|10007
GOLT1B|51026
GPATCH8|23131
GPC1|2817
GRB10|2887
GRN|2896
GRWD1|83743
GSTM2|2946
GSTZ1|2954
GTF2A2|2958
GTF2E2|2961
GTPBP8|29083
H2AFV|94239
HADH|3033
HAT1|8520
HDAC2|3066
HDAC6|10013
HDGFRP3|50810
HEATR1|55127
HEBP1|50865
HERC6|55008
HERPUD1|9709
HES1|3280
HIF1A|3091
HIST1H2BK|85236
HIST2H2BE|8349
HK1|3098
HLA-DMA|3108
HLA-DRA|3122
HMG20B|10362
HMGCR|3156
HMGCS1|3157
HMOX1|3162
HN1L|90861
HOMER2|9455
HOOK2|29911
HPRT1|3251
HS2ST1|9653
HSD17B10|3028
HSD17B11|51170
HSPA1A|3303
HSPA4|3308
HSPA8|3312
HSPB1|3315
HSPD1|3329
HTATSF1|27336
HTRA1|5654
HYOU1|10525
IARS2|55699
ICAM1|3383
ICAM3|3385
ICMT|23463
ID2|3398
IDE|3416
IER3|8870
IFNAR1|3454
IFRD2|7866
IGF1R|3480
IGF2BP2|10644
IGF2R|3482
IGFBP3|3486
IGHMBP2|3508
IKBKAP|8518
IKBKB|3551
IKBKE|9641
IKZF1|10320
IL13RA1|3597
IL1B|3553
IL4R|3566
ILK|3611
INPP1|3628
INPP4B|8821
INSIG1|3638
INTS3|65123
IPO13|9670
IQGAP1|8826
ISOC1|51015
ITFG1|81533
ITGAE|3682
ITGB1BP1|9270
ITGB5|3693
JMJD6|23210
JUN|3725
KCTD5|54442
KDELR2|11014
KDM3A|55818
KDM5A|5927
KDM5B|10765
KEAP1|9817
KIAA0100|9703
KIAA0355|9710
KIAA0753|9851
KIAA0907|22889
KIF14|9928
KIF20A|10112
KIF2C|11004
KIF5C|3800
KIT|3815
KLHDC2|23588
KLHL21|9903
KLHL9|55958
KTN1|3895
LAGE3|8270
LAMA3|3909
LAP3|51056
LBR|3930
LGALS8|3964
LGMN|5641
LIG1|3978
LIPA|3988
LOXL1|4016
LPAR2|9170
LPGAT1|9926
LRP10|26020
LRPAP1|4043
LRRC41|10489
LSM5|23658
LSM6|11157
LSR|51599
LYN|4067
LYPLA1|10434
LYRM1|57149
MACF1|23499
MALT1|10892
MAMLD1|10046
MAN2B1|4125
MAP2K5|5607
MAP3K4|4216
MAP4K4|9448
MAP7|9053
MAPK13|5603
MAPK1IP1L|93487
MAPK9|5601
MAPKAPK2|9261
MAPKAPK3|7867
MAPKAPK5|8550
MAST2|23139
MAT2A|4144
MBNL1|4154
MBNL2|10150
MBOAT7|79143
MBTPS1|8720
MCM3|4172
MCOLN1|57192
ME2|4200
MEF2C|4208
MELK|9833
MEST|4232
METRN|79006
MFSD10|10227
MICALL1|85377
MIF|4282
MKNK1|8569
MLEC|9761
MLLT11|10962
MMP2|4313
MNAT1|4331
MPZL1|9019
MRPL12|6182
MRPL19|9801
MRPS16|51021
MRPS2|51116
MSH6|2956
MSRA|4482
MTA1|9112
MTF2|22823
MTFR1|9650
MTHFD2|10797
MUC1|4582
MVP|9961
MYBL2|4605
MYCBP2|23077
MYCBP|26292
MYC|4609
MYL9|10398
MYLK|4638
MYO10|4651
NARFL|64428
NCAPD2|9918
NCK1|4690
NCK2|8440
NCOA3|8202
NENF|29937
NET1|10276
NFATC3|4775
NFATC4|4776
NFE2L2|4780
NFIL3|4783
NFKB2|4791
NFKBIA|4792
NFKBIB|4793
NFKBIE|4794
NGRN|51335
NIPSNAP1|8508
NISCH|11188
NIT1|4817
NMT1|4836
NNT|23530
NOL3|8996
NOLC1|9221
NOS3|4846
NOSIP|51070
